Algorithm,version,Shapley Value,Temporal Shapley Value,Standalone Performance,Marginal Performance,Temporal Marginal Performance
LEO-II---1.7.0-7.1.0,7.1.0,6.60575,0,2299,0,0
LEO-II---1.7.0-7.2.0,7.2.0,6.60575,0,2299,0,0
LEO-II---1.6.2-6.3.0,6.3.0,6.51162,87.51471,2271,0,0
LEO-II---1.6.2-6.4.0,6.4.0,6.50858,0,2270,0,0
Darwin---1.4.5-6.3.0,6.3.0,6.45822,88.02914,2122,0,1
Darwin---1.4.5-6.4.0,6.4.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.0.0,7.0.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.1.0,7.1.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.2.0,7.2.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.3.0,7.3.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.4.0,7.4.0,6.45822,0,2122,0,0
Darwin---1.4.5-7.5.0,7.5.0,6.45822,0,2122,0,0
Darwin---1.4.5-8.0.0,8.0.0,6.45822,0,2122,0,0
CSE---1.1-7.3.0,7.3.0,6.2167,0.03448,2028,0,0
Twee---2.4-8.0.0,8.0.0,6.21643,1,1461,0,1
Twee---2.2-7.3.0,7.3.0,5.91764,0.03846,1447,0,0
Twee---2.2-7.4.0,7.4.0,5.91764,0,1447,0,0
Twee---2.1.5-7.2.0,7.2.0,5.88068,3,1402,0,3
iProver-Eq---0.85-6.3.0,6.3.0,5.87006,78.7431,1991,0,0
iProver-Eq---0.85-6.4.0,6.4.0,5.87006,0,1991,0,0
iProver-Eq---0.85-7.0.0,7.0.0,5.87006,0,1991,0,0
iProver-Eq---0.85-7.1.0,7.1.0,5.87006,0,1991,0,0
iProver-Eq---0.85-7.2.0,7.2.0,5.87006,0,1991,0,0
lazyCoP---0.1-8.1.0,8.1.0,5.80517,0,1791,0,0
lazyCoP---0.1-8.2.0,8.2.0,5.80517,0,1791,0,0
iProver-Eq---0.85-7.3.0,7.3.0,5.7847,0,1953,0,0
iProver-Eq---0.85-7.4.0,7.4.0,5.7847,0,1953,0,0
iProver-Eq---0.85-7.5.0,7.5.0,5.7847,0,1953,0,0
iProver-Eq---0.85-8.0.0,8.0.0,5.7847,0,1953,0,0
iProver-Eq---0.85-8.1.0,8.1.0,5.7847,0,1953,0,0
iProver-Eq---0.85-8.2.0,8.2.0,5.7847,0,1953,0,0
